section_label,token_count,line_initial_tokens,line_final_tokens,paragraph_initial_tokens,line_initial_distribution_normalized_entropy,line_final_distribution_normalized_entropy,paragraph_initial_distribution_normalized_entropy,line_initial_concentration_score,line_final_concentration_score,paragraph_initial_concentration_score,dshedy_line_initial_bias,ptk_paragraph_initial_concentration,am_class_line_final_bias,position_token_chi_square,empirical_p_value,permutation_iterations,p_value_formula,confidence_note
herbal,11034,1614,1614,130,0.9343197703963173,0.9000317308376555,0.9962464563317014,0.0656802296036827,0.09996826916234447,0.003753543668298609,0.8571428571428571,0.8,0.08612143742255267,414.648717407291,0.000999000999000999,1000,(k + 1) / (N + 1),standard
recipes_stars,10744,1117,1117,25,0.9360408599060391,0.9541045991092094,0.9953966229946016,0.06395914009396086,0.04589540089079058,0.004603377005398368,1.0,0.8,0.19068934646374217,367.460071797151,0.000999000999000999,1000,(k + 1) / (N + 1),standard
biological_balneological,6240,854,854,38,0.9200290909694403,0.9312951562273802,0.99728235764118,0.0799709090305597,0.06870484377261976,0.002717642358819994,0.9444444444444444,0.5789473684210527,0.053864168618266976,216.9362058102638,0.000999000999000999,1000,(k + 1) / (N + 1),standard
unknown,4855,831,831,22,0.9766879628164299,0.9695812705987554,0.994582610326122,0.02331203718357011,0.03041872940124457,0.005417389673877948,0.6666666666666666,0.5,0.09626955475330927,175.3107646895519,0.000999000999000999,1000,(k + 1) / (N + 1),standard
pharmaceutical,2338,414,414,32,0.9807782509331799,0.9803018379415674,0.9966298649991181,0.01922174906682006,0.019698162058432556,0.003370135000881902,0.0,0.71875,0.0821256038647343,172.54039843503472,0.000999000999000999,1000,(k + 1) / (N + 1),standard
cosmological,1543,234,234,18,0.9816702625973904,0.9708469309770645,0.9929910186265145,0.01832973740260957,0.029153069022935463,0.00700898137348549,1.0,0.6111111111111112,0.15384615384615385,164.13221225805145,0.000999000999000999,1000,(k + 1) / (N + 1),standard
astronomical_zodiac,846,239,239,18,0.9948414470032676,0.9878215847391554,1.0,0.005158552996732402,0.012178415260844622,0.0,0.0,0.2222222222222222,0.04602510460251046,56.14304302909566,0.06793206793206794,1000,(k + 1) / (N + 1),standard
