source_section,target_section,target_heldout_cross_entropy,target_perplexity,token_matching_rate,token_mass_coverage,suffix_top1,suffix_top3,delta_vs_target_own_model,delta_vs_global_model
herbal,herbal,12.060468443912765,4271.326433424761,0.5221238938053098,0.7453917050691244,0.6710829493087558,0.8859447004608295,0.0,-0.26081106241107577
herbal,astronomical_zodiac,15.132914221804356,35930.32144528892,0.49612403100775193,0.5422535211267606,0.5845070422535211,0.852112676056338,0.3635355723729017,0.23041002585947368
herbal,biological_balneological,12.411083679477192,5446.386608321914,0.5080459770114942,0.7595573440643864,0.7917505030181087,0.9386317907444668,2.2128555230208278,1.5432790679575028
herbal,cosmological,13.090210119555385,8720.590541918998,0.6080402010050251,0.6666666666666666,0.6296296296296297,0.8724279835390947,-0.06625044937476865,0.35277230906260826
herbal,pharmaceutical,13.111133027246735,8847.983790658807,0.5555555555555556,0.6796875,0.6197916666666666,0.8619791666666666,0.6059843187676659,0.19036938244147272
herbal,recipes_stars,13.099917487746453,8779.466065542096,0.45340909090909093,0.7010309278350515,0.7140531741725448,0.8925664677156809,1.438421665157838,1.3222463273198208
herbal,unknown,13.666950262207356,13006.545908040749,0.4806949806949807,0.6379746835443038,0.6189873417721519,0.8569620253164557,0.7892109929723734,0.9192095140794319
astronomical_zodiac,herbal,14.137815070382926,18026.292315545797,0.1338495575221239,0.34043778801843316,0.5241935483870968,0.7315668202764977,2.0773466264701614,1.8165355640590857
astronomical_zodiac,astronomical_zodiac,14.769378649431454,27927.109688843804,0.24806201550387597,0.3028169014084507,0.4507042253521127,0.6408450704225352,0.0,-0.133125546513428
astronomical_zodiac,biological_balneological,15.125044635147479,35734.862958028716,0.14942528735632185,0.24849094567404426,0.49899396378269617,0.6217303822937625,4.926816478691114,4.257240023627789
astronomical_zodiac,cosmological,14.069146273508851,17188.38376889425,0.2663316582914573,0.32510288065843623,0.51440329218107,0.6872427983539094,0.9126857045786974,1.3317084630160743
astronomical_zodiac,pharmaceutical,13.820631450714343,14468.537214753009,0.2222222222222222,0.3958333333333333,0.4713541666666667,0.7317708333333334,1.3154827422352735,0.8998678059090803
astronomical_zodiac,recipes_stars,14.730291896522083,27180.64170547222,0.11931818181818182,0.28865979381443296,0.5420510037981552,0.728160607704829,3.068796073933468,2.952620736095451
astronomical_zodiac,unknown,14.499918474537107,23169.165699189056,0.1525096525096525,0.2772151898734177,0.47468354430379744,0.6797468354430379,1.6221792053021247,1.7521777264091831
biological_balneological,herbal,14.377209212742363,21279.98056450095,0.2577433628318584,0.49078341013824883,0.5668202764976958,0.7695852534562212,2.3167407688295985,2.0559297064185227
biological_balneological,astronomical_zodiac,17.44803920166286,178806.44356933344,0.27906976744186046,0.31690140845070425,0.3732394366197183,0.5633802816901409,2.6786605522314044,2.5455350057179764
biological_balneological,biological_balneological,10.198228156456365,1174.82337173929,0.5402298850574713,0.7917505030181087,0.8279678068410463,0.9164989939637826,0.0,-0.669576455063325
biological_balneological,cosmological,14.734318321529923,27256.60625378469,0.3869346733668342,0.46502057613168724,0.5473251028806584,0.7037037037037037,1.577857752599769,1.996880511037146
biological_balneological,pharmaceutical,14.89797315544732,30530.702290495887,0.3074074074074074,0.4322916666666667,0.5234375,0.7057291666666666,2.39282444696825,1.9772095106420569
biological_balneological,recipes_stars,12.597610052076302,6198.098865350665,0.3340909090909091,0.6342919153553989,0.6690179055887141,0.8252848616386327,0.9361142294876874,0.8199388916496702
biological_balneological,unknown,14.208094465271706,18926.164707340653,0.3474903474903475,0.5139240506329114,0.540506329113924,0.739240506329114,1.3303551960367237,1.4603537171437821
cosmological,herbal,13.57578549747803,12210.083936208728,0.20575221238938052,0.4573732718894009,0.5518433179723502,0.7661290322580645,1.5153170535652656,1.2545059911541898
cosmological,astronomical_zodiac,14.766356460580994,27868.66860717885,0.3178294573643411,0.36619718309859156,0.5140845070422535,0.6830985915492958,-0.003022188850460239,-0.13614773536388824
cosmological,biological_balneological,13.227480972639974,9591.102666140767,0.2574712643678161,0.5171026156941649,0.6519114688128773,0.7927565392354124,3.029252816183609,2.3596763611202842
cosmological,cosmological,13.156460568930154,9130.388726360967,0.4020100502512563,0.48148148148148145,0.5761316872427984,0.7613168724279835,0.0,0.4190227584373769
cosmological,pharmaceutical,13.6614593895735,12957.137300721437,0.28888888888888886,0.4609375,0.4895833333333333,0.7552083333333334,1.1563106810944301,0.740695744768237
cosmological,recipes_stars,13.387610313562185,10716.976407277902,0.2,0.47748236570808467,0.6006511123168746,0.801953336950624,1.7261144909735702,1.609939153135553
cosmological,unknown,13.441125067703853,11121.972600820145,0.2915057915057915,0.46962025316455697,0.5354430379746835,0.7481012658227848,0.5633857984688699,0.6933843195759284
pharmaceutical,herbal,13.530974190974703,11836.658066555903,0.22676991150442477,0.4890552995391705,0.5748847926267281,0.7569124423963134,1.4705057470619387,1.209694684650863
pharmaceutical,astronomical_zodiac,15.232609181473403,38501.023591313846,0.26356589147286824,0.30985915492957744,0.5070422535211268,0.676056338028169,0.4632305320419494,0.3301049855285214
pharmaceutical,biological_balneological,14.325802361927003,20535.071668056393,0.19540229885057472,0.4396378269617706,0.630784708249497,0.7243460764587525,4.127574205470639,3.457997750407314
pharmaceutical,cosmological,13.985384629701414,16218.858110908837,0.3417085427135678,0.41975308641975306,0.5802469135802469,0.7654320987654321,0.8289240607712607,1.2479468192086376
pharmaceutical,pharmaceutical,12.50514870847907,5813.3284557757515,0.40370370370370373,0.5625,0.5989583333333334,0.7786458333333334,0.0,-0.4156149363261932
pharmaceutical,recipes_stars,14.350799382554268,20893.975249012376,0.2056818181818182,0.42973412913727616,0.5973955507325014,0.7346717308735757,2.689303559965653,2.573128222127636
pharmaceutical,unknown,14.280488288501669,19900.103151552514,0.2644787644787645,0.4291139240506329,0.5392405063291139,0.7025316455696202,1.402749019266686,1.5327475403737445
recipes_stars,herbal,13.692777897086792,13241.49043002794,0.3938053097345133,0.6267281105990783,0.6226958525345622,0.8709677419354839,1.6323094531740274,1.3714983907629517
recipes_stars,astronomical_zodiac,15.948189102704816,63224.19325658255,0.4186046511627907,0.45774647887323944,0.5211267605633803,0.8380281690140845,1.1788104532733623,1.0456849067599343
recipes_stars,biological_balneological,11.136833495526783,2251.7539791297067,0.593103448275862,0.806841046277666,0.8038229376257545,0.9496981891348089,0.9386053390704188,0.2690288840070938
recipes_stars,cosmological,13.452204877104304,11207.717504381897,0.5678391959798995,0.6337448559670782,0.6296296296296297,0.8724279835390947,0.2957443081741502,0.7147670666115271
recipes_stars,pharmaceutical,13.908073555415028,15372.599831316615,0.46296296296296297,0.6015625,0.6067708333333334,0.859375,1.4029248469359583,0.9873099106097651
recipes_stars,recipes_stars,11.661495822588615,3239.366129291149,0.5568181818181818,0.7797069994574064,0.7346717308735757,0.9131850244167119,0.0,-0.11617533783801726
recipes_stars,unknown,13.26762557116839,9861.733636858196,0.5135135135135135,0.660759493670886,0.6151898734177215,0.8848101265822785,0.3898863019334069,0.5198848230404653
unknown,herbal,13.388831645836502,10726.052844563012,0.3584070796460177,0.6146313364055299,0.6278801843317973,0.8565668202764977,1.3283632019237377,1.067552139512662
unknown,astronomical_zodiac,15.275878802455518,39673.24549535113,0.4186046511627907,0.47183098591549294,0.5845070422535211,0.8380281690140845,0.5065001530240636,0.3733746065106356
unknown,biological_balneological,11.896675727073358,3812.9072628641857,0.45977011494252873,0.7374245472837022,0.7917505030181087,0.93158953722334,1.6984475706169935,1.0288711155536685
unknown,cosmological,13.301754120142581,10097.805125219498,0.5276381909547738,0.5925925925925926,0.6255144032921811,0.8436213991769548,0.14529355121242737,0.5643163096498043
unknown,pharmaceutical,13.485697279510246,11470.950180364314,0.45925925925925926,0.6067708333333334,0.6119791666666666,0.8411458333333334,0.9805485710311768,0.5649336347049836
unknown,recipes_stars,12.73267119999268,6806.376301965757,0.3784090909090909,0.6641345632121541,0.7037438958220293,0.8800868149755833,1.0711753774040655,0.9550000395660483
unknown,unknown,12.877739269234983,7526.374016143243,0.5,0.6531645569620254,0.6443037974683544,0.8873417721518987,0.0,0.12999852110705845
