section_label,pcs_valid_token_count,prefix_type_count,core_type_count,suffix_type_count,prefix_entropy,core_entropy,suffix_entropy,H_suffix_given_core,H_core_given_prefix,MI_core_suffix,MI_prefix_core,suffix_from_core_top1_accuracy,suffix_from_core_top3_accuracy,core_from_prefix_top1_accuracy,core_from_prefix_top3_accuracy
recipes_stars,9258,118,1055,19,4.345395210670159,7.086771823293158,2.335688289873655,0.7497823240487044,4.823728752032664,1.5859059658249002,2.2630430712607463,0.8083819399438323,0.9750486066104991,0.1942104126161158,0.40203067617195937
herbal,8781,115,1055,22,4.508119639490305,7.01332670422874,2.565801762134333,0.9073526379451329,4.628650921264619,1.6584491241892096,2.384675782964149,0.761530577382986,0.9617355654253502,0.2566905819382758,0.44015487985423074
biological_balneological,5051,92,498,18,4.002436227567443,6.366554822511639,1.7741337863494406,0.3822647940698066,4.085752065600913,1.391868992279633,2.28080275691073,0.9027915264304098,0.9924767372797466,0.24232825183132053,0.4771332409423876
unknown,3960,109,772,21,4.499691162130461,7.327767812521913,2.4691062631833365,0.7673877482213799,4.850946939805902,1.7017185149619456,2.4768208727159133,0.7845959595959596,0.9762626262626263,0.20176767676767676,0.3803030303030303
pharmaceutical,1937,85,419,20,4.377769701420399,6.558762633619919,2.5824521708474952,0.8195478652687188,3.9365214140406395,1.762904305578782,2.6222412195793563,0.769747031491998,0.9741868869385648,0.2632937532266391,0.5100671140939598
cosmological,1188,73,336,16,4.408374762130581,6.87180211134104,2.583051826067207,0.7497853021929313,4.180851492440686,1.8332665238742758,2.690950618900311,0.7878787878787878,0.9739057239057239,0.21717171717171718,0.41919191919191917
astronomical_zodiac,698,63,307,15,4.581231948315532,7.1736970508400475,2.5165318360385758,0.692574040455519,3.910870044496352,1.82395779558306,3.262827006343745,0.7965616045845272,0.9742120343839542,0.22922636103151864,0.44269340974212035
