section_label,total_lines,total_tokens,alphabetic_tokens,token_types,type_token_ratio,hapax_count,mean_token_length,median_token_length,token_entropy,normalized_token_entropy,zipf_slope,top_10_tokens,section_share_of_total_corpus
herbal,1614,11034,11034,3173,0.2875657059996375,2148,4.857984411818017,5.0,9.8236966100819,0.8445673637196852,-0.842047612621637,daiin:462; chol:230; dy:168; chor:156; or:134; dar:118; aiin:117; shol:115; chy:113; ol:98,0.29345744680851066
recipes_stars,1117,10744,10744,3048,0.28369322412509307,2067,5.286578555472822,5.0,9.80564907949394,0.847239329196944,-0.8514698868085592,aiin:215; chedy:200; qokeey:159; ar:154; al:144; qokeedy:136; chey:125; daiin:122; qokaiin:120; shedy:116,0.2857446808510638
biological_balneological,854,6240,6240,1425,0.2283653846153846,938,5.051602564102564,5.0,8.509892403642812,0.8122648232561863,-0.9505307507811938,ol:225; shedy:219; chedy:185; qokain:158; qokedy:158; qokeedy:147; qol:105; qokal:102; shey:87; daiin:81,0.16595744680851063
unknown,831,4855,4855,1992,0.4102986611740474,1437,5.03480947476828,5.0,9.803413711861932,0.8944718963212893,-0.7116405175304542,ar:102; aiin:90; ol:72; or:70; daiin:57; al:55; shedy:50; dar:47; chedy:44; dal:38,0.12912234042553192
pharmaceutical,414,2338,2338,1039,0.44439692044482465,766,5.040633019674936,5.0,8.978121420463706,0.8959324811746363,-0.6777784352870134,daiin:95; chol:43; ol:41; cheol:36; or:33; aiin:31; okeol:26; dal:24; chey:24; dar:23,0.062180851063829784
cosmological,234,1543,1543,824,0.5340246273493195,608,4.893065456902138,5.0,8.971798584279039,0.9262167032460782,-0.5864476761743375,ar:41; aiin:26; dar:26; daiin:25; ol:24; or:22; dal:20; dy:18; al:17; chol:14,0.04103723404255319
astronomical_zodiac,239,846,846,603,0.7127659574468085,500,5.275413711583925,5.0,8.909941448509288,0.9646955129544128,-0.41008170442976233,aiin:13; ar:13; daiin:11; dar:10; dy:10; dair:9; oteey:7; shey:6; dal:6; chol:6,0.0225
