token,folio_id,section_label,visual_category,line_global,line_in_folio,token_index_in_line,line_token_count,line_position,paragraph_initial,raw_line_tag
shody,f1r,unknown,unknown,8,9,3,4,line_final,False,"f1r.9,+P0"
dain,f1r,unknown,unknown,9,10,0,3,line_initial,False,"f1r.10,=Pt"
os,f1r,unknown,unknown,9,10,1,3,line_medial,False,"f1r.10,=Pt"
teody,f1r,unknown,unknown,9,10,2,3,line_final,False,"f1r.10,=Pt"
ydain,f1r,unknown,unknown,10,11,0,8,line_initial,True,"f1r.11,*P0"
cphesaiin,f1r,unknown,unknown,10,11,1,8,line_medial,False,"f1r.11,*P0"
ols,f1r,unknown,unknown,10,11,2,8,line_medial,False,"f1r.11,*P0"
cphey,f1r,unknown,unknown,10,11,3,8,line_medial,False,"f1r.11,*P0"
ytain,f1r,unknown,unknown,10,11,4,8,line_medial,False,"f1r.11,*P0"
shoshy,f1r,unknown,unknown,10,11,5,8,line_medial,False,"f1r.11,*P0"
cphodal,f1r,unknown,unknown,10,11,6,8,line_medial,False,"f1r.11,*P0"
es,f1r,unknown,unknown,10,11,7,8,line_final,False,"f1r.11,*P0"
oksho,f1r,unknown,unknown,11,12,0,8,line_initial,False,"f1r.12,+P0"
kshoy,f1r,unknown,unknown,11,12,1,8,line_medial,False,"f1r.12,+P0"
otairin,f1r,unknown,unknown,11,12,2,8,line_medial,False,"f1r.12,+P0"
oteol,f1r,unknown,unknown,11,12,3,8,line_medial,False,"f1r.12,+P0"
okan,f1r,unknown,unknown,11,12,4,8,line_medial,False,"f1r.12,+P0"
shodain,f1r,unknown,unknown,11,12,5,8,line_medial,False,"f1r.12,+P0"
sckhey,f1r,unknown,unknown,11,12,6,8,line_medial,False,"f1r.12,+P0"
daiin,f1r,unknown,unknown,11,12,7,8,line_final,False,"f1r.12,+P0"
shoy,f1r,unknown,unknown,12,13,0,8,line_initial,False,"f1r.13,+P0"
ckhey,f1r,unknown,unknown,12,13,1,8,line_medial,False,"f1r.13,+P0"
kodaiin,f1r,unknown,unknown,12,13,2,8,line_medial,False,"f1r.13,+P0"
cphy,f1r,unknown,unknown,12,13,3,8,line_medial,False,"f1r.13,+P0"
cphodaiils,f1r,unknown,unknown,12,13,4,8,line_medial,False,"f1r.13,+P0"
cthey,f1r,unknown,unknown,12,13,5,8,line_medial,False,"f1r.13,+P0"
sho,f1r,unknown,unknown,12,13,6,8,line_medial,False,"f1r.13,+P0"
oldain,f1r,unknown,unknown,12,13,7,8,line_final,False,"f1r.13,+P0"
dain,f1r,unknown,unknown,13,14,0,10,line_initial,False,"f1r.14,+P0"
oiin,f1r,unknown,unknown,13,14,1,10,line_medial,False,"f1r.14,+P0"
chol,f1r,unknown,unknown,13,14,2,10,line_medial,False,"f1r.14,+P0"
odaiin,f1r,unknown,unknown,13,14,3,10,line_medial,False,"f1r.14,+P0"
chodain,f1r,unknown,unknown,13,14,4,10,line_medial,False,"f1r.14,+P0"
chdy,f1r,unknown,unknown,13,14,5,10,line_medial,False,"f1r.14,+P0"
ok,f1r,unknown,unknown,13,14,6,10,line_medial,False,"f1r.14,+P0"
in,f1r,unknown,unknown,13,14,7,10,line_medial,False,"f1r.14,+P0"
cthy,f1r,unknown,unknown,13,14,8,10,line_medial,False,"f1r.14,+P0"
kod,f1r,unknown,unknown,13,14,9,10,line_final,False,"f1r.14,+P0"
daiin,f1r,unknown,unknown,14,15,0,10,line_initial,False,"f1r.15,+P0"
shckhey,f1r,unknown,unknown,14,15,1,10,line_medial,False,"f1r.15,+P0"
eo,f1r,unknown,unknown,14,15,2,10,line_medial,False,"f1r.15,+P0"
char,f1r,unknown,unknown,14,15,3,10,line_medial,False,"f1r.15,+P0"
shey,f1r,unknown,unknown,14,15,4,10,line_medial,False,"f1r.15,+P0"
kol,f1r,unknown,unknown,14,15,5,10,line_medial,False,"f1r.15,+P0"
chol,f1r,unknown,unknown,14,15,6,10,line_medial,False,"f1r.15,+P0"
chol,f1r,unknown,unknown,14,15,7,10,line_medial,False,"f1r.15,+P0"
kor,f1r,unknown,unknown,14,15,8,10,line_medial,False,"f1r.15,+P0"
chal,f1r,unknown,unknown,14,15,9,10,line_final,False,"f1r.15,+P0"
sho,f1r,unknown,unknown,15,16,0,9,line_initial,False,"f1r.16,+P0"
chol,f1r,unknown,unknown,15,16,1,9,line_medial,False,"f1r.16,+P0"
shodan,f1r,unknown,unknown,15,16,2,9,line_medial,False,"f1r.16,+P0"
kshy,f1r,unknown,unknown,15,16,3,9,line_medial,False,"f1r.16,+P0"
kchy,f1r,unknown,unknown,15,16,4,9,line_medial,False,"f1r.16,+P0"
or,f1r,unknown,unknown,15,16,5,9,line_medial,False,"f1r.16,+P0"
chodaiin,f1r,unknown,unknown,15,16,6,9,line_medial,False,"f1r.16,+P0"
sho,f1r,unknown,unknown,15,16,7,9,line_medial,False,"f1r.16,+P0"
koeam,f1r,unknown,unknown,15,16,8,9,line_final,False,"f1r.16,+P0"
ycho,f1r,unknown,unknown,16,17,0,8,line_initial,False,"f1r.17,+P0"
tchey,f1r,unknown,unknown,16,17,1,8,line_medial,False,"f1r.17,+P0"
chekain,f1r,unknown,unknown,16,17,2,8,line_medial,False,"f1r.17,+P0"
sheo,f1r,unknown,unknown,16,17,3,8,line_medial,False,"f1r.17,+P0"
pshol,f1r,unknown,unknown,16,17,4,8,line_medial,False,"f1r.17,+P0"
dydyd,f1r,unknown,unknown,16,17,5,8,line_medial,False,"f1r.17,+P0"
cthy,f1r,unknown,unknown,16,17,6,8,line_medial,False,"f1r.17,+P0"
dai,f1r,unknown,unknown,16,17,7,8,line_final,False,"f1r.17,+P0"
yto,f1r,unknown,unknown,17,18,0,9,line_initial,False,"f1r.18,+P0"
shol,f1r,unknown,unknown,17,18,1,9,line_medial,False,"f1r.18,+P0"
she,f1r,unknown,unknown,17,18,2,9,line_medial,False,"f1r.18,+P0"
kodshey,f1r,unknown,unknown,17,18,3,9,line_medial,False,"f1r.18,+P0"
cphealy,f1r,unknown,unknown,17,18,4,9,line_medial,False,"f1r.18,+P0"
dar,f1r,unknown,unknown,17,18,5,9,line_medial,False,"f1r.18,+P0"
ain,f1r,unknown,unknown,17,18,6,9,line_medial,False,"f1r.18,+P0"
dain,f1r,unknown,unknown,17,18,7,9,line_medial,False,"f1r.18,+P0"
ckhyds,f1r,unknown,unknown,17,18,8,9,line_final,False,"f1r.18,+P0"
dchar,f1r,unknown,unknown,18,19,0,8,line_initial,False,"f1r.19,+P0"
shcthaiin,f1r,unknown,unknown,18,19,1,8,line_medial,False,"f1r.19,+P0"
okaiir,f1r,unknown,unknown,18,19,2,8,line_medial,False,"f1r.19,+P0"
chey,f1r,unknown,unknown,18,19,3,8,line_medial,False,"f1r.19,+P0"
chy,f1r,unknown,unknown,18,19,4,8,line_medial,False,"f1r.19,+P0"
tol,f1r,unknown,unknown,18,19,5,8,line_medial,False,"f1r.19,+P0"
cthols,f1r,unknown,unknown,18,19,6,8,line_medial,False,"f1r.19,+P0"
dlo,f1r,unknown,unknown,18,19,7,8,line_final,False,"f1r.19,+P0"
shok,f1r,unknown,unknown,19,20,0,5,line_initial,False,"f1r.20,+P0"
chor,f1r,unknown,unknown,19,20,1,5,line_medial,False,"f1r.20,+P0"
chey,f1r,unknown,unknown,19,20,2,5,line_medial,False,"f1r.20,+P0"
dain,f1r,unknown,unknown,19,20,3,5,line_medial,False,"f1r.20,+P0"
ckhey,f1r,unknown,unknown,19,20,4,5,line_final,False,"f1r.20,+P0"
otol,f1r,unknown,unknown,20,21,0,2,line_initial,False,"f1r.21,=Pt"
daiiin,f1r,unknown,unknown,20,21,1,2,line_final,False,"f1r.21,=Pt"
cpho,f1r,unknown,unknown,21,22,0,10,line_initial,True,"f1r.22,*P0"
shaiin,f1r,unknown,unknown,21,22,1,10,line_medial,False,"f1r.22,*P0"
shokcheey,f1r,unknown,unknown,21,22,2,10,line_medial,False,"f1r.22,*P0"
chol,f1r,unknown,unknown,21,22,3,10,line_medial,False,"f1r.22,*P0"
tshodeesy,f1r,unknown,unknown,21,22,4,10,line_medial,False,"f1r.22,*P0"
shey,f1r,unknown,unknown,21,22,5,10,line_medial,False,"f1r.22,*P0"
pydeey,f1r,unknown,unknown,21,22,6,10,line_medial,False,"f1r.22,*P0"
cha,f1r,unknown,unknown,21,22,7,10,line_medial,False,"f1r.22,*P0"
ro,f1r,unknown,unknown,21,22,8,10,line_medial,False,"f1r.22,*P0"
dar,f1r,unknown,unknown,21,22,9,10,line_final,False,"f1r.22,*P0"
ydoin,f1r,unknown,unknown,22,23,0,10,line_initial,False,"f1r.23,+P0"
chol,f1r,unknown,unknown,22,23,1,10,line_medial,False,"f1r.23,+P0"
dain,f1r,unknown,unknown,22,23,2,10,line_medial,False,"f1r.23,+P0"
cthal,f1r,unknown,unknown,22,23,3,10,line_medial,False,"f1r.23,+P0"
dar,f1r,unknown,unknown,22,23,4,10,line_medial,False,"f1r.23,+P0"
shear,f1r,unknown,unknown,22,23,5,10,line_medial,False,"f1r.23,+P0"
kaiin,f1r,unknown,unknown,22,23,6,10,line_medial,False,"f1r.23,+P0"
dar,f1r,unknown,unknown,22,23,7,10,line_medial,False,"f1r.23,+P0"
shey,f1r,unknown,unknown,22,23,8,10,line_medial,False,"f1r.23,+P0"
cthar,f1r,unknown,unknown,22,23,9,10,line_final,False,"f1r.23,+P0"
cho,f1r,unknown,unknown,23,24,0,9,line_initial,False,"f1r.24,+P0"
kaiin,f1r,unknown,unknown,23,24,1,9,line_medial,False,"f1r.24,+P0"
shoaiin,f1r,unknown,unknown,23,24,2,9,line_medial,False,"f1r.24,+P0"
okol,f1r,unknown,unknown,23,24,3,9,line_medial,False,"f1r.24,+P0"
daiin,f1r,unknown,unknown,23,24,4,9,line_medial,False,"f1r.24,+P0"
far,f1r,unknown,unknown,23,24,5,9,line_medial,False,"f1r.24,+P0"
cthol,f1r,unknown,unknown,23,24,6,9,line_medial,False,"f1r.24,+P0"
daiin,f1r,unknown,unknown,23,24,7,9,line_medial,False,"f1r.24,+P0"
ctholdar,f1r,unknown,unknown,23,24,8,9,line_final,False,"f1r.24,+P0"
ycheey,f1r,unknown,unknown,24,25,0,9,line_initial,False,"f1r.25,+P0"
okeey,f1r,unknown,unknown,24,25,1,9,line_medial,False,"f1r.25,+P0"
oky,f1r,unknown,unknown,24,25,2,9,line_medial,False,"f1r.25,+P0"
daiin,f1r,unknown,unknown,24,25,3,9,line_medial,False,"f1r.25,+P0"
okchey,f1r,unknown,unknown,24,25,4,9,line_medial,False,"f1r.25,+P0"
kokaiin,f1r,unknown,unknown,24,25,5,9,line_medial,False,"f1r.25,+P0"
