section_a,astronomical_zodiac,biological_balneological,cosmological,herbal,pharmaceutical,recipes_stars,unknown
astronomical_zodiac,0.0,9.060236160843463,4.451049496707746,9.372113697040211,4.690447921546059,8.87143854067783,6.600360203705608
biological_balneological,9.060236160843463,0.0,7.18223464060252,6.304434592419147,6.458784459781235,5.4709170656229595,6.998347597285621
cosmological,4.451049496707746,7.18223464060252,0.0,6.45656031237968,2.2715883889524524,6.564099106541337,4.096511434210813
herbal,9.372113697040211,6.304434592419147,6.45656031237968,0.0,5.658887780281058,3.9986326998549364,4.436216765107333
pharmaceutical,4.690447921546059,6.458784459781235,2.2715883889524524,5.658887780281058,0.0,5.603550450132343,3.5993555102873303
recipes_stars,8.87143854067783,5.4709170656229595,6.564099106541337,3.9986326998549364,5.603550450132343,0.0,4.390771817319567
unknown,6.600360203705608,6.998347597285621,4.096511434210813,4.436216765107333,3.5993555102873303,4.390771817319567,0.0
