source_section,herbal,astronomical_zodiac,biological_balneological,cosmological,pharmaceutical,recipes_stars,unknown
herbal,12.060468443912765,15.132914221804356,12.411083679477192,13.090210119555385,13.111133027246735,13.099917487746453,13.666950262207356
astronomical_zodiac,14.137815070382926,14.769378649431454,15.125044635147479,14.069146273508851,13.820631450714343,14.730291896522083,14.499918474537107
biological_balneological,14.377209212742363,17.44803920166286,10.198228156456365,14.734318321529923,14.89797315544732,12.597610052076302,14.208094465271706
cosmological,13.57578549747803,14.766356460580994,13.227480972639974,13.156460568930154,13.6614593895735,13.387610313562185,13.441125067703853
pharmaceutical,13.530974190974703,15.232609181473403,14.325802361927003,13.985384629701414,12.50514870847907,14.350799382554268,14.280488288501669
recipes_stars,13.692777897086792,15.948189102704816,11.136833495526783,13.452204877104304,13.908073555415028,11.661495822588615,13.26762557116839
unknown,13.388831645836502,15.275878802455518,11.896675727073358,13.301754120142581,13.485697279510246,12.73267119999268,12.877739269234983
