iteration,permuted_macro_F1
0,0.17521907576492726
1,0.14503874214506338
2,0.21540604190447096
3,0.11535223000767786
4,0.1896310062495226
5,0.14007553658142113
6,0.1634377063136782
7,0.1614985729055385
8,0.12626413243092335
9,0.18275686086555187
10,0.16422036918695243
11,0.14509830751509842
12,0.1359863546531456
13,0.12670917602553028
14,0.13329275195954288
15,0.1794390948574035
16,0.15690075659854122
17,0.1390068608655519
18,0.18739316291039051
19,0.1780533124406274
20,0.15669340742964133
21,0.17742868965509825
22,0.12848089613786176
23,0.1464558604829134
24,0.14652257566971597
25,0.15915911251543374
26,0.1751836964991987
27,0.13475146250734707
28,0.13816773909435534
29,0.1654583678048637
30,0.17139991484769948
31,0.164023843361366
32,0.15592199150951414
33,0.14278038622817088
34,0.10860793112364099
35,0.1844501593669503
36,0.16182448576007527
37,0.13841357400109663
38,0.13534474937180233
39,0.15962569521321784
40,0.1765381429949009
41,0.23826003672898977
42,0.15403114065711254
43,0.16431842029482888
44,0.14624808770417994
45,0.16123933937665433
46,0.11539071574551923
47,0.1567843087207503
48,0.1292836479790628
49,0.1877088194760471
50,0.2162867558856216
51,0.18308591605335134
52,0.16735947494614553
53,0.1948390560556393
54,0.10740841824357107
55,0.1510890560556393
56,0.1803430401397437
57,0.16915181521968722
58,0.17469660122365416
59,0.1594465754932791
60,0.22728955959997602
61,0.15343831326364077
62,0.17865953845624205
63,0.12962038417691307
64,0.14906124474768634
65,0.15105011084681444
66,0.16105306983994808
67,0.11190507697057916
68,0.16728919381624674
69,0.12849115242674194
70,0.1395637778000117
71,0.16209140029901026
72,0.1785968666140942
73,0.13570203400856293
74,0.21102224718158258
75,0.14281172214924479
76,0.18336308688116654
77,0.15287325584814668
78,0.2002966142950433
79,0.1695973182852776
80,0.14420776085490114
81,0.16621237761934324
82,0.15894461352976638
83,0.1805087612375396
84,0.13319470085166646
85,0.1873511112294529
86,0.14288154380816007
87,0.20761312041134172
88,0.1511096762168495
89,0.11461661696311287
90,0.18287546041233868
91,0.19150342447085977
92,0.1214415608493785
93,0.1769836460604913
94,0.18918239671181944
95,0.15953479392210887
96,0.12861028316681208
97,0.19181954050749983
98,0.15831787493639127
99,0.1548625814182583
100,0.17188701012324403
101,0.12506461955085346
102,0.14424624659274252
103,0.1921351970731564
104,0.16507957992607583
105,0.1529583678048637
106,0.16014101993772353
107,0.16919030095752854
108,0.125362338817579
109,0.15745456706088828
110,0.14308836178377662
111,0.17753083789935423
112,0.14368164864823188
113,0.15934852438540262
114,0.16043658753545323
115,0.1362352960319996
116,0.17209435929214392
117,0.15263556142243967
118,0.11316101288742147
119,0.15807204002965
120,0.15669340742964133
121,0.10630026612559364
122,0.14824766956317176
123,0.17037909807773477
124,0.19774000791814192
125,0.14988239335880196
126,0.15423894929699594
127,0.2231788385685233
128,0.20566584652216777
129,0.1573780191950391
130,0.14163275770808523
131,0.14399730521388845
132,0.152357931123641
133,0.20116608132304695
134,0.16926012261644385
135,0.13830427594007313
136,0.2032781035763249
137,0.18462973855787257
138,0.1860849190237304
139,0.14135611807355336
140,0.19147208854978584
141,0.223023904952891
142,0.1338891452961109
143,0.14187144279805905
144,0.14722731226419053
145,0.22078606161375894
146,0.15992027214668073
147,0.18441882344587637
148,0.1214204812171848
149,0.1362352960319996
150,0.14037467012224705
151,0.1372274597431696
