iteration,section_label,sample_size,H_suffix_given_core,suffix_top1
8,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
8,biological_balneological,846,0.2677429847036389,0.9218523878437048
8,cosmological,846,0.6352425473913246,0.8198757763975155
8,pharmaceutical,846,0.6826128150151586,0.8074179743223966
8,recipes_stars,846,0.5415549933207285,0.841886269070735
9,herbal,846,0.6687650934381214,0.8044117647058824
9,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
9,biological_balneological,846,0.2650307962281321,0.9218523878437048
9,cosmological,846,0.7466084481892626,0.7828054298642534
9,pharmaceutical,846,0.6893113117467582,0.8005780346820809
9,recipes_stars,846,0.5827081961421187,0.8220108695652174
10,herbal,846,0.6452831542598324,0.8071216617210683
10,astronomical_zodiac,846,0.6925740404555194,0.7965616045845272
10,biological_balneological,846,0.2796711644073233,0.9093525179856116
10,cosmological,846,0.6988907468226643,0.7905918057663126
10,pharmaceutical,846,0.7570952185758352,0.7848101265822784
10,recipes_stars,846,0.6083101465536032,0.8291666666666667
11,herbal,846,0.7077423683797772,0.8093841642228738
11,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
11,biological_balneological,846,0.2750279049798206,0.9213649851632048
11,cosmological,846,0.6763642592226451,0.8021978021978022
11,pharmaceutical,846,0.7056087473302086,0.7789017341040463
11,recipes_stars,846,0.56140900049627,0.8375
12,herbal,846,0.7185543283254168,0.7889908256880734
12,astronomical_zodiac,846,0.6925740404555194,0.7965616045845272
12,biological_balneological,846,0.2759656239548522,0.9215116279069767
12,cosmological,846,0.615771973816076,0.8194444444444444
12,pharmaceutical,846,0.7280822937918655,0.7839771101573677
12,recipes_stars,846,0.5033968264799548,0.8545953360768176
13,herbal,846,0.6119799160393655,0.8268072289156626
13,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
13,biological_balneological,846,0.30735043616262975,0.9056047197640118
13,cosmological,846,0.6692079718762031,0.8069381598793364
13,pharmaceutical,846,0.7803590046025198,0.7725321888412017
13,recipes_stars,846,0.5564753459852181,0.8461538461538461
14,herbal,846,0.685056428493601,0.7892307692307692
14,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
14,biological_balneological,846,0.2750068949368997,0.9200581395348837
14,cosmological,846,0.6531426143871613,0.804953560371517
14,pharmaceutical,846,0.7405114512512257,0.7773049645390071
14,recipes_stars,846,0.5046990866458415,0.8541953232462174
15,herbal,846,0.6872295890845006,0.7918486171761281
15,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
15,biological_balneological,846,0.23119827998041714,0.9373134328358209
15,cosmological,846,0.7169404126346268,0.7903726708074534
15,pharmaceutical,846,0.7471303405996552,0.7687861271676301
15,recipes_stars,846,0.5664357210544757,0.8351498637602179
16,herbal,846,0.6586139838940676,0.8083209509658247
16,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
16,biological_balneological,846,0.2711541255881658,0.9305354558610709
16,cosmological,846,0.6521642101217158,0.8133748055987559
16,pharmaceutical,846,0.6924795486586057,0.8034682080924855
16,recipes_stars,846,0.5314762228922286,0.8513888888888889
17,herbal,846,0.6883346694648542,0.8159879336349924
17,astronomical_zodiac,846,0.692574040455519,0.7965616045845272
17,biological_balneological,846,0.30878815523661796,0.9085545722713865
17,cosmological,846,0.7001385323866959,0.7904903417533432
17,pharmaceutical,846,0.6393516874403808,0.806497175141243
17,recipes_stars,846,0.5407029013776564,0.8450899031811895
18,herbal,846,0.70526927519775,0.7883755588673621
18,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
18,biological_balneological,846,0.2942906824956684,0.9075144508670521
18,cosmological,846,0.6918750548408548,0.8
18,pharmaceutical,846,0.7264272156852963,0.7856135401974612
18,recipes_stars,846,0.5336466524258795,0.8500687757909215
19,herbal,846,0.6461984831080267,0.8011695906432749
19,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
19,biological_balneological,846,0.25967691309386703,0.9236311239193083
19,cosmological,846,0.7166066642717563,0.7826771653543307
19,pharmaceutical,846,0.7047272172667738,0.7806267806267806
19,recipes_stars,846,0.580749326584371,0.8342465753424657
20,herbal,846,0.6155342989640749,0.8184480234260615
20,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
20,biological_balneological,846,0.26534427435752855,0.91800878477306
20,cosmological,846,0.6691082153635716,0.7948717948717948
20,pharmaceutical,846,0.7365807677254073,0.7790530846484935
20,recipes_stars,846,0.6464235380697709,0.8130841121495327
21,herbal,846,0.7391492197162837,0.7762762762762763
21,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
21,biological_balneological,846,0.2695864031386327,0.9220183486238532
21,cosmological,846,0.6549125733145233,0.8031007751937984
21,pharmaceutical,846,0.7015660717495196,0.7888730385164051
21,recipes_stars,846,0.6022109538628044,0.8262068965517242
22,herbal,846,0.6062650909321305,0.8080357142857143
22,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
22,biological_balneological,846,0.316238899833438,0.9048991354466859
22,cosmological,846,0.7289092890631645,0.7889060092449923
22,pharmaceutical,846,0.7637562464834715,0.779020979020979
22,recipes_stars,846,0.580837177573093,0.8376891334250344
23,herbal,846,0.6295865469068609,0.8162650602409639
23,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
23,biological_balneological,846,0.26313872792295956,0.9267935578330894
23,cosmological,846,0.6734991309222828,0.7966101694915254
23,pharmaceutical,846,0.7610733627151178,0.7774607703281027
23,recipes_stars,846,0.5287487688883409,0.8504043126684636
24,herbal,846,0.6590525937482212,0.8106936416184971
24,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
24,biological_balneological,846,0.3489734823909705,0.9048316251830161
24,cosmological,846,0.7086304550894514,0.7969924812030075
24,pharmaceutical,846,0.6877386914868739,0.8028776978417266
24,recipes_stars,846,0.56424567322641,0.8417462482946794
25,herbal,846,0.5791714051464213,0.8095238095238095
25,astronomical_zodiac,846,0.6925740404555194,0.7965616045845272
25,biological_balneological,846,0.26159437871807,0.9263622974963182
25,cosmological,846,0.6974183148295268,0.7912254160363086
25,pharmaceutical,846,0.7461308961008349,0.7817403708987162
25,recipes_stars,846,0.5898381689158327,0.8194444444444444
26,herbal,846,0.652521004331505,0.812220566318927
26,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
26,biological_balneological,846,0.22166136509658896,0.9363241678726484
26,cosmological,846,0.6559889269239522,0.8025078369905956
26,pharmaceutical,846,0.6937692834999918,0.8008474576271186
26,recipes_stars,846,0.5428278933365192,0.8475524475524475
27,herbal,846,0.6221953253004797,0.8145985401459854
27,astronomical_zodiac,846,0.692574040455519,0.7965616045845272
27,biological_balneological,846,0.2638221543788368,0.9243085880640466
27,cosmological,846,0.6619249277654213,0.7990867579908676
27,pharmaceutical,846,0.7675746214560947,0.7723342939481268
27,recipes_stars,846,0.5320612463985175,0.8593103448275862
28,herbal,846,0.7030936016223236,0.7961019490254873
28,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
28,biological_balneological,846,0.2732953554952974,0.9251798561151079
28,cosmological,846,0.6614347626782381,0.8133748055987559
28,pharmaceutical,846,0.683065176155107,0.8020086083213773
28,recipes_stars,846,0.5604093462700666,0.8453038674033149
29,herbal,846,0.6610428595030108,0.8034682080924855
29,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
29,biological_balneological,846,0.23881600224905208,0.9312865497076024
29,cosmological,846,0.6424030062208889,0.8073394495412844
29,pharmaceutical,846,0.6719307413214031,0.7971428571428572
29,recipes_stars,846,0.5433478247515962,0.8435277382645804
30,herbal,846,0.5628376852488833,0.8266068759342302
30,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
30,biological_balneological,846,0.28029554491327474,0.9180327868852459
30,cosmological,846,0.6235789359458677,0.813953488372093
30,pharmaceutical,846,0.7037056391790222,0.7862165963431786
30,recipes_stars,846,0.5306227950440423,0.8503496503496504
31,herbal,846,0.7628390240529528,0.7745241581259151
31,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
31,biological_balneological,846,0.23681820216863186,0.9246088193456614
31,cosmological,846,0.6689954561971965,0.8090062111801242
31,pharmaceutical,846,0.7746551862029395,0.7765042979942693
31,recipes_stars,846,0.574666832373343,0.8392370572207084
32,herbal,846,0.7183677768452698,0.787661406025825
32,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
32,biological_balneological,846,0.2773053876778428,0.9225037257824144
32,cosmological,846,0.6153926209581634,0.8137404580152672
32,pharmaceutical,846,0.7140980340241408,0.8
32,recipes_stars,846,0.5011877015721518,0.8489795918367347
33,herbal,846,0.7077556738496908,0.7928994082840237
33,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
33,biological_balneological,846,0.31124451432635997,0.9122807017543859
33,cosmological,846,0.7340999082875731,0.7874617737003058
33,pharmaceutical,846,0.7762045252019362,0.7656033287101248
33,recipes_stars,846,0.5043531185701776,0.8707015130674003
34,herbal,846,0.6601381152939504,0.7961876832844574
34,astronomical_zodiac,846,0.6925740404555194,0.7965616045845272
34,biological_balneological,846,0.3358795301460918,0.9063400576368876
34,cosmological,846,0.6943731967081314,0.7984375
34,pharmaceutical,846,0.7232526095727654,0.7886524822695036
34,recipes_stars,846,0.5410271201454759,0.8344733242134063
35,herbal,846,0.631316024604303,0.815592203898051
35,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
35,biological_balneological,846,0.28160783641099213,0.9239766081871345
35,cosmological,846,0.6770554662086181,0.8015384615384615
35,pharmaceutical,846,0.7099793240822047,0.788218793828892
35,recipes_stars,846,0.5122164630438844,0.8600543478260869
36,herbal,846,0.617464146668474,0.8072992700729927
36,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
36,biological_balneological,846,0.26365051039004345,0.920114122681883
36,cosmological,846,0.715383208495642,0.7972560975609756
36,pharmaceutical,846,0.7385268432885026,0.7867435158501441
36,recipes_stars,846,0.5691529828507934,0.8364864864864865
37,herbal,846,0.6209492377853619,0.8257016248153619
37,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
37,biological_balneological,846,0.2903513208546956,0.9216524216524217
37,cosmological,846,0.6432508099313058,0.8131699846860643
37,pharmaceutical,846,0.7640254070953603,0.765379113018598
37,recipes_stars,846,0.5204283234222031,0.8453038674033149
38,herbal,846,0.692201411752679,0.7913669064748201
38,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
38,biological_balneological,846,0.3088436061843818,0.9166666666666666
38,cosmological,846,0.6741650753952296,0.8039816232771823
38,pharmaceutical,846,0.756519003137377,0.7954545454545454
38,recipes_stars,846,0.5931554604363375,0.8257887517146777
39,herbal,846,0.7104896354362875,0.794074074074074
39,astronomical_zodiac,846,0.6925740404555188,0.7965616045845272
39,biological_balneological,846,0.303091607769624,0.9080459770114943
39,cosmological,846,0.6140426760835487,0.8215892053973014
39,pharmaceutical,846,0.7115318541395621,0.7965367965367965
39,recipes_stars,846,0.43436246470667544,0.8703956343792633
40,herbal,846,0.7445451109594676,0.7931547619047619
40,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
40,biological_balneological,846,0.33303551246670443,0.8992805755395683
40,cosmological,846,0.741607855130438,0.7841614906832298
40,pharmaceutical,846,0.7431068467169593,0.781021897810219
40,recipes_stars,846,0.5366834129781791,0.8517482517482518
41,herbal,846,0.7313355842377149,0.7795031055900621
41,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
41,biological_balneological,846,0.2686106342696548,0.922077922077922
41,cosmological,846,0.6595062031703582,0.8145896656534954
41,pharmaceutical,846,0.7483884280365151,0.7852062588904695
41,recipes_stars,846,0.5209651017953303,0.8463648834019204
42,herbal,846,0.698143485387299,0.7979351032448377
42,astronomical_zodiac,846,0.692574040455519,0.7965616045845272
42,biological_balneological,846,0.28910967422461836,0.9219219219219219
42,cosmological,846,0.6901431910832004,0.7962674961119751
42,pharmaceutical,846,0.7643792260104413,0.7840909090909091
42,recipes_stars,846,0.5814045515130908,0.8353741496598639
43,herbal,846,0.6745199229754527,0.7961309523809523
43,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
43,biological_balneological,846,0.3107214730259985,0.9124293785310734
43,cosmological,846,0.6550327629217173,0.8155487804878049
43,pharmaceutical,846,0.6787501350211268,0.7976878612716763
43,recipes_stars,846,0.541679536158091,0.8381742738589212
44,herbal,846,0.6001198764981196,0.8245614035087719
44,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
44,biological_balneological,846,0.28085051981542286,0.9251101321585903
44,cosmological,846,0.6623432295846678,0.8051750380517504
44,pharmaceutical,846,0.6897871871395651,0.792022792022792
44,recipes_stars,846,0.652611893160892,0.8082758620689655
45,herbal,846,0.6428947804157022,0.8187134502923976
45,astronomical_zodiac,846,0.6925740404555195,0.7965616045845272
45,biological_balneological,846,0.30150732610647685,0.9144927536231884
45,cosmological,846,0.6660295092811404,0.8051750380517504
45,pharmaceutical,846,0.5974918255567864,0.8203677510608204
45,recipes_stars,846,0.5959564420548925,0.8303198887343533
46,herbal,846,0.6869971592671159,0.8032305433186491
46,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
46,biological_balneological,846,0.33161231495594296,0.9113018597997139
46,cosmological,846,0.692735624262159,0.8009188361408882
46,pharmaceutical,846,0.7381885625198482,0.7890295358649789
46,recipes_stars,846,0.5881731281610425,0.8313090418353576
47,herbal,846,0.6610230585673305,0.8003095975232198
47,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
47,biological_balneological,846,0.29235598119213596,0.917037037037037
47,cosmological,846,0.6741931786332082,0.803030303030303
47,pharmaceutical,846,0.7260617276479914,0.7734487734487735
47,recipes_stars,846,0.4956779762934817,0.8571428571428571
48,herbal,846,0.676929850056773,0.8009118541033434
48,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
48,biological_balneological,846,0.27894122604746396,0.9238653001464129
48,cosmological,846,0.6783699178119412,0.808868501529052
48,pharmaceutical,846,0.7583747367019814,0.7905308464849354
48,recipes_stars,846,0.556758689687513,0.8494475138121547
49,herbal,846,0.6683423739288337,0.8028985507246377
49,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
49,biological_balneological,846,0.27977206203381727,0.9255474452554745
49,cosmological,846,0.6684176146527904,0.8018018018018018
49,pharmaceutical,846,0.6524654815273949,0.8076923076923077
49,recipes_stars,846,0.5045253556209361,0.8608815426997245
50,herbal,846,0.7000005261511654,0.8015037593984963
50,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
50,biological_balneological,846,0.24829824847156637,0.9243937232524965
50,cosmological,846,0.6755798528347496,0.8079268292682927
50,pharmaceutical,846,0.7515683009415488,0.7514367816091954
50,recipes_stars,846,0.5262722104197153,0.8559670781893004
51,herbal,846,0.6243167969165914,0.8080357142857143
51,astronomical_zodiac,846,0.6925740404555187,0.7965616045845272
51,biological_balneological,846,0.26032769546142664,0.9224011713030746
51,cosmological,846,0.6581355193581427,0.8149920255183413
51,pharmaceutical,846,0.7113968596763596,0.7871428571428571
51,recipes_stars,846,0.6198420345564135,0.8331015299026425
52,herbal,846,0.7178403844088379,0.7892376681614349
52,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
52,biological_balneological,846,0.3302540204633042,0.9096296296296297
52,cosmological,846,0.6322003217720035,0.809076682316119
52,pharmaceutical,846,0.6538332230340955,0.8075253256150506
52,recipes_stars,846,0.4793756341800426,0.8593103448275862
53,herbal,846,0.6392752009172071,0.7988077496274217
53,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
53,biological_balneological,846,0.31942942111602945,0.908029197080292
53,cosmological,846,0.7102810853380793,0.7852760736196319
53,pharmaceutical,846,0.7276703891676964,0.7904624277456648
53,recipes_stars,846,0.5119488584779067,0.845108695652174
54,herbal,846,0.6204344557020103,0.8088235294117647
54,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
54,biological_balneological,846,0.3513321008694271,0.8945827232796486
54,cosmological,846,0.6242281631416886,0.8174962292609351
54,pharmaceutical,846,0.7152157005136554,0.7985611510791367
54,recipes_stars,846,0.4823485662715836,0.8663911845730028
55,herbal,846,0.6736717122919486,0.8079763663220089
55,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
