token_count,type_token_ratio,mean_token_length,median_token_length,token_entropy,normalized_token_entropy,zipf_slope,prefix_entropy,core_entropy,suffix_entropy,H_suffix_given_core,H_core_given_prefix,MI_core_suffix,suffix_from_core_top1,suffix_from_core_top3,top_token_family_concentration,pcs_valid_count,line_initial_concentration_score,line_final_concentration_score,bigram_entropy,line_internal_shuffled_bigram_entropy,ordering_contribution,same_core_clustering_ratio,same_prefix_core_clustering_ratio,folio_id,section_label,folio_order_n
206,0.7621359223300971,4.669902912621359,4.5,7.053270080708101,0.9669138840123802,-0.3678475660292323,4.19401049258266,5.259367828240928,2.383093803684373,0.5905488967520887,2.2583478884007415,1.7925449069322836,0.8375,0.98125,0.038834951456310676,160,0.0076465056666746856,-4.440892098500626e-16,7.47573343096637,7.4701154534382805,-0.005617977528089568,0.9230904096779848,0.8231207556006559,f1r,unknown,10
88,0.7727272727272727,4.386363636363637,4.0,5.915405448399493,0.9717357793652658,-0.36877065793473596,3.87549055288429,4.515030260534237,2.0746464947097945,0.37004910253434875,1.4928286090822867,1.7045973921754458,0.873015873015873,1.0,0.056818181818181816,63,0.0,0.0,6.285402218862257,6.27873555219559,-0.006666666666666821,1.013143483023001,0.6388012618296529,f1v,herbal,11
100,0.8,4.56,4.0,6.193660689688198,0.9797107143146888,-0.3268186575213615,3.841159566512232,4.924803605723639,2.1304952555644836,0.19131163209468532,1.8132179977250267,1.9391836234697983,0.9305555555555556,1.0,0.04,72,2.220446049250313e-16,0.016272603740587366,6.385861524373001,6.404685053784765,0.018823529411763573,0.8481262327416174,1.146797482413921,f2r,herbal,20
59,0.7627118644067796,4.762711864406779,4.0,5.224525737102338,0.9513229224201213,-0.3761232669807214,2.691787073240874,4.243134106881672,2.5136128950004144,0.3630061290583784,2.023208436901006,2.1506067659420354,0.8431372549019608,1.0,0.0847457627118644,51,0.0,0.06937177558342222,5.63320965569699,5.652521464519672,0.019311808822681797,1.0821643286573146,0.8601877696016238,f2v,herbal,21
111,0.7927927927927928,5.045045045045045,5.0,6.25463075859432,0.9682942908704122,-0.33137868574312607,3.54516248105797,5.007755530966281,2.5820271308920875,0.7189997212238902,2.0646732618832053,1.8630274096681965,0.7448979591836735,0.9897959183673469,0.06306306306306306,98,0.006120494870484938,0.006120494870484938,6.507794640198703,6.503399035803097,-0.004395604395605268,0.8882033336402984,0.9777925091150148,f3r,herbal,30
79,0.9113924050632911,4.7974683544303796,5.0,6.097898944297479,0.988326266992225,-0.17482904512007408,3.713433951896375,4.611093253086999,2.545920281355772,0.7827757576801636,1.680435058870786,1.7631445236756096,0.7142857142857143,0.9682539682539683,0.0379746835443038,63,-4.440892098500626e-16,0.009712883245855286,6.022367813028458,6.022367813028458,0.0,0.812870448772227,0.4845814977973568,f3v,herbal,31
63,0.746031746031746,5.095238095238095,5.0,5.3485554715247305,0.9629075372355095,-0.4092850591650083,3.57503829900949,4.270394917843075,2.011736695591645,0.43650191661738313,1.3059897841029864,1.5752347789742616,0.8571428571428571,0.9821428571428571,0.07936507936507936,56,0.010702744148229915,-2.220446049250313e-16,5.603856189774728,5.627056189774728,0.02320000000000011,0.9069400630914827,0.8721168281697832,f4r,herbal,40
80,0.8625,5.1375,5.0,5.9768075889568975,0.9784372038201279,-0.24681856652639478,3.416925128573493,5.2189001381512945,2.46454098951841,0.3749898982743075,2.379863458576749,2.0895510912441027,0.855072463768116,1.0,0.0625,69,0.009712883245855286,0.009712883245855286,6.044394119358462,6.04196987693422,-0.0024242424242419958,0.9431240033411801,0.7524184879971336,f4v,herbal,41
53,0.8301886792452831,4.962264150943396,5.0,5.374054652635584,0.9843615650921874,-0.2880019603376962,3.362911901510459,4.544537752260991,1.7506057405641031,0.12465867720970691,1.801054805882249,1.625947063354396,0.9555555555555556,1.0,0.05660377358490566,45,0.0,0.02449624099389136,5.5235619560570095,5.522692390839618,-0.0008695652173917878,0.9027121845904736,0.8522261677137394,f5r,herbal,50
43,0.7674418604651163,5.255813953488372,5.0,4.815458649899995,0.9546158638596671,-0.3906052133177898,3.1209059485996735,3.9385078712672543,2.513424936329008,0.3966990855241563,1.4288554345851485,2.1167258508048516,0.8536585365853658,1.0,0.13953488372093023,41,0.0,0.0,5.209453365628954,5.204047960223549,-0.005405405405404906,1.0192837465564741,1.1344537815126052,f5v,herbal,51
